Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
99.788,1.663133333,0.0279,-0.3067,-0.3086,-0.3168,-0.2244,-0.2655,-0.4112,0.0524,0.0829,0.0882,0.0851,0.0883,0.0146
100.6794,1.67799,-0.0266,-0.2281,-0.1889,-0.2394,-0.1708,-0.0965,0.0647,0.1152,0.04,0.0493,0.0662,0.115,0.1151
101.566,1.692766667,0.1301,-0.2959,-0.3153,-0.2177,-0.2175,-0.1798,-0.4273,0.1617,0.0697,0.0605,0.0382,0.0924,0.0614
102.4194,1.70699,0.08,-0.2238,-0.3312,-0.2167,-0.1956,-0.2578,-0.2628,0.1103,0.0656,0.0885,0.0442,0.0464,0.0431
103.2818,1.721363333,0.0302,-0.2045,-0.1844,-0.2392,-0.1535,-0.264,0.1015,0.1279,0.0693,0.0642,0.0586,-0.0208,-0.0386
104.1825,1.736375,0.0675,-0.3688,-0.2733,-0.3664,-0.1313,-0.2132,-0.4436,0.1117,0.0802,0.0787,0.0485,0.0146,0.0924
105.0434,1.750723333,0.0887,-0.3104,-0.3685,-0.2568,-0.2253,-0.1532,-0.4393,0.1379,0.0763,0.059,0.0168,0.0325,0.0484
105.9135,1.765225,0.0785,-0.4103,-0.2594,-0.2494,-0.1882,-0.2601,-0.318,0.1138,0.0498,0.0515,0.0293,0.0256,0.0098
106.7812,1.779686667,-0.0672,-0.3983,-0.1564,-0.2361,-0.1456,-0.261,-0.0612,0.1235,0.081,0.0315,0.0052,0.0154,0.0044
107.6542,1.794236667,0.1029,-0.4855,-0.266,-0.2303,-0.2108,-0.3097,-0.2539,0.0781,0.0569,0.0788,0.0688,0.0039,0.0775
108.4855,1.808091667,0.0501,-0.2493,-0.3968,-0.3081,-0.2356,-0.3471,-0.3594,0.1262,0.0501,0.0469,0.0342,0.049,0.2189
109.3254,1.82209,-0.0158,-0.3324,-0.1978,-0.3166,-0.2336,-0.2162,-0.4016,0.0655,0.021,0.0443,0.0508,0.0757,-0.0501
110.2032,1.83672,0.1183,-0.2846,-0.2342,-0.2432,-0.2023,-0.3831,-0.4602,0.1838,0.0868,0.0497,0.0499,0.0942,0.049
111.0714,1.85119,0.0858,-0.3737,-0.2592,-0.2812,-0.175,-0.2134,-0.4887,0.1668,0.0606,0.0335,0.041,-0.0001,0.1663
111.9415,1.865691667,-0.0081,-0.2877,-0.3162,-0.3049,-0.1493,-0.2132,-0.1729,0.1123,0.1003,0.106,0.0639,0.0503,0.1463
112.8049,1.880081667,0.0016,-0.3053,-0.2797,-0.2599,-0.2405,-0.2449,-0.086,0.1082,0.0921,0.0337,0.0845,0.0423,-0.056
113.6839,1.894731667,0.0967,-0.3363,-0.3722,-0.2436,-0.2628,-0.2348,-0.3625,0.1685,0.0447,0.0742,0.0697,0.1062,-0.0889
114.5262,1.90877,-0.0202,-0.3749,-0.2858,-0.2596,-0.2217,-0.129,0.0401,0.1004,0.0398,0.0707,0.0334,0.0788,-0.0507
115.3859,1.923098333,0.1021,-0.2591,-0.2406,-0.3001,-0.325,-0.1749,-0.433,0.1463,0.0723,0.0514,0.0463,0.0857,0.1861
116.2619,1.937698333,0.0451,-0.1715,-0.1985,-0.1853,-0.2,-0.3513,-0.659,0.1488,0.0599,0.0605,0.068,0.0534,0.1258
117.1454,1.952423333,0.05,-0.4081,-0.3151,-0.3336,-0.1989,-0.352,-0.4519,0.1171,0.0651,0.0623,0.0849,0.04,-0.1136
117.9998,1.966663333,0.0561,-0.276,-0.2234,-0.3098,-0.2749,-0.4169,-0.278,0.1552,0.0679,0.0606,0.0282,0.056,0.1581
118.8594,1.98099,0.0099,-0.2979,-0.2576,-0.3005,-0.2817,-0.5451,-0.7077,0.0541,0.0934,0.0648,0.0264,0.0409,0.1294
119.7511,1.995851667,0.06,-0.4115,-0.2754,-0.3085,-0.2204,-0.202,-0.7102,0.16,0.076,0.0776,0.0572,-0.0581,0.1761
120.6063,2.010105,0.0661,-0.3441,-0.2711,-0.3678,-0.268,-0.3014,-0.254,0.0909,0.1489,0.0616,0.096,0.0521,0.1193
121.4632,2.024386667,-0.0164,-0.3351,-0.2235,-0.331,-0.2775,-0.2146,-0.5819,0.114,0.0806,0.0644,0.0485,0.0413,0.1193
