Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
202.6453	-0.5462	-0.7186	-0.7028	-0.6224	-0.6069	-0.5937	-0.3231	0.0229	0.1563	0.1238	0.0952	0.1011	0.0739	0.2372
204.3679	-0.3543	-0.8332	-0.7361	-0.6768	-0.6156	-0.5514	-0.5625	0.0326	0.1709	0.0698	0.0964	0.1215	0.0913	0.2349
206.1195	-0.4443	-0.9050	-0.8047	-0.6530	-0.7018	-0.5496	-0.6506	-0.0032	0.0779	0.1466	0.0943	0.1207	0.0944	0.0431
207.8339	-0.5155	-0.8517	-0.7655	-0.6417	-0.5964	-0.6200	-0.4936	0.0161	0.0858	0.1475	0.0899	0.0649	0.0491	0.0456
209.6105	-0.3969	-0.9006	-0.6233	-0.6644	-0.6654	-0.6758	-0.8128	0.0189	0.0878	0.1230	0.0967	0.1021	0.0487	0.1987
211.3139	-0.3465	-0.7540	-0.6545	-0.6304	-0.6733	-0.6897	-0.4356	0.0358	0.0813	0.0923	0.1284	0.0968	-0.0579	0.2453
213.0603	-0.5354	-0.9115	-0.6822	-0.6635	-0.6015	-0.7396	-0.7224	0.0279	0.1408	0.0927	0.0991	0.1204	0.1368	0.1380
214.7852	-0.5100	-0.7448	-0.8275	-0.6616	-0.6369	-0.3706	-0.4397	0.0300	0.1348	0.0860	0.0865	0.0919	-0.0860	-0.0711
216.4974	-0.4960	-0.7592	-0.6171	-0.6179	-0.7018	-0.7375	-0.4870	0.0352	0.1214	0.0813	0.0932	0.0772	0.0871	0.2330
218.2939	-0.4812	-0.7452	-0.7689	-0.6763	-0.5329	-0.6627	-0.5516	0.1043	0.1507	0.1342	0.0941	0.1232	0.0977	0.0005
220.0363	-0.5040	-0.7420	-0.7420	-0.6816	-0.6843	-0.8255	-0.6033	0.0551	0.1435	0.1275	0.1565	0.1326	0.0669	0.1846
221.8144	-0.5292	-0.8705	-0.7064	-0.6004	-0.6475	-0.6227	-1.0767	-0.0071	0.1173	0.1288	0.1288	0.0965	0.0936	0.3740
223.5886	-0.4415	-0.8605	-0.7741	-0.6634	-0.7545	-0.8850	-0.5378	0.0280	0.1122	0.1333	0.1221	0.0969	0.1778	0.1228
225.3143	-0.5205	-0.8697	-0.7125	-0.6775	-0.7486	-0.5842	-0.0926	0.0329	0.1586	0.0902	0.0930	0.1406	0.1565	0.0210
227.0363	-0.4033	-0.9398	-0.7981	-0.6848	-0.6989	-0.7796	-0.2948	0.0751	0.1433	0.1034	0.1210	0.1105	0.0725	0.1932
228.8257	-0.4605	-0.8412	-0.6407	-0.7094	-0.6864	-0.5461	-0.4295	0.0489	0.0898	0.1083	0.1030	0.1293	0.1040	0.0696
230.5618	-0.4577	-0.9238	-0.7950	-0.6834	-0.6743	-0.7952	-0.7704	0.0935	0.1687	0.1282	0.1242	0.1400	0.1307	0.1751
232.3599	-0.5439	-1.0672	-0.8483	-0.6688	-0.5941	-0.8259	-0.4133	0.0316	0.1581	0.1112	0.1022	0.0826	0.0616	0.2352
234.0815	-0.5723	-0.8004	-0.7508	-0.7429	-0.6071	-0.6414	-0.5442	0.0418	0.1006	0.1551	0.1106	0.1035	0.0381	0.2162
235.7758	-0.4822	-0.8872	-0.7219	-0.7377	-0.8490	-0.5690	-0.7002	0.0937	0.1175	0.1322	0.1090	0.1366	-0.0036	0.2569
237.5194	-0.4850	-0.8249	-0.7643	-0.7462	-0.6249	-0.5255	-0.4964	0.0181	0.2200	0.2148	0.1024	0.1050	0.1308	0.1086
239.2203	-0.5350	-0.8673	-0.7225	-0.7367	-0.6919	-0.7566	-0.2827	0.0674	0.1183	0.1613	0.1440	0.0679	0.0933	0.0316
240.9759	-0.6772	-0.7856	-0.8184	-0.6956	-0.6094	-0.7541	-0.5278	0.0838	0.1472	0.1115	0.1273	0.1349	0.2361	-0.1717
242.6874	-0.7390	-0.8883	-0.8838	-0.6594	-0.6542	-0.7135	-0.4137	0.1459	0.1317	0.1256	0.1015	0.1208	0.0627	0.1898
244.4204	-0.9247	-0.8461	-0.7624	-0.7084	-0.7008	-0.4292	-0.2668	0.1305	0.1208	0.1401	0.1036	0.1529	0.1420	0.0786
246.1306	-0.8376	-1.1211	-0.8144	-0.7283	-0.7154	-0.9167	-0.6005	0.1408	0.1413	0.1561	0.1058	0.1072	0.1161	0.3360
