Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
177.0566	-2.1898	-0.0153	-0.0909	0.0199	-0.0893	-0.0717	0.1333	-0.2478	0.0395	0.0268	0.0313	0.0217	-0.0221	0.0994
178.7786	-2.0616	-0.1733	-0.1698	-0.0557	-0.0223	-0.1025	-0.1637	-0.2761	0.0242	0.0386	-0.0088	0.0131	-0.0496	-0.0724
180.5560	-1.9658	-0.0273	-0.0936	-0.0314	0.0270	0.0868	0.3516	-0.2255	0.0207	-0.0257	0.0434	0.0130	-0.0365	0.1879
182.2792	-1.7659	-0.0568	-0.1626	0.0199	-0.0158	-0.2836	0.2044	-0.2195	0.0455	0.0021	0.0105	-0.0149	-0.0032	0.0504
183.9213	-1.7536	-0.0222	-0.1327	-0.0569	-0.0682	-0.1035	-0.3183	-0.2483	0.0190	0.0054	0.0478	0.0356	0.0515	0.2394
185.4745	-1.6209	-0.1257	-0.1241	-0.0098	-0.0374	-0.0349	-0.0827	-0.1404	0.0198	0.0383	0.0284	0.0279	-0.0492	-0.1279
187.0529	-1.4580	-0.1631	-0.0514	-0.0302	-0.0293	-0.1324	0.3902	-0.1909	0.0305	-0.0000	0.0342	0.0244	-0.0427	0.1135
188.7209	-1.5091	-0.1935	0.0197	-0.0328	0.0314	-0.1609	0.0235	-0.1849	0.0322	0.0090	0.0083	0.0119	0.0409	0.1376
190.2419	-1.3486	-0.1655	-0.1228	-0.0585	-0.0392	-0.0343	-0.3781	-0.1598	0.0059	0.0363	0.0378	0.0124	-0.0416	0.1732
191.7178	-1.5835	-0.1729	0.0652	-0.1310	-0.0165	-0.0351	-0.2052	-0.1265	0.0501	0.0180	0.0295	0.0228	0.0178	0.2285
193.3965	-1.4108	-0.1021	-0.0216	-0.0008	-0.0693	0.0673	-0.2282	-0.0995	0.0707	-0.0134	0.0493	0.0177	0.1044	0.0714
195.0896	-1.3221	-0.1721	-0.0832	0.0271	-0.0811	0.2542	0.0684	-0.1222	0.0123	0.0205	0.0322	0.0100	0.0141	-0.0367
196.6267	-1.1621	-0.0670	-0.0590	-0.1407	-0.0592	0.0092	0.4941	-0.1711	0.0874	0.0088	0.0337	0.0081	0.0508	0.1989
198.0951	-1.0847	-0.0825	-0.1987	-0.0697	-0.0299	0.0831	-0.1841	-0.0571	0.0546	0.0116	-0.0018	0.0175	0.0429	-0.1828
199.5441	-1.0460	-0.0544	-0.1266	-0.0897	-0.0011	0.1548	-0.0931	-0.0420	0.0778	0.0009	0.0246	0.0208	-0.0226	0.1299
201.1042	-1.0747	-0.1359	-0.0254	-0.0880	-0.0349	0.0960	0.1640	-0.1282	0.0338	0.0323	0.0369	0.0210	0.0224	0.2364
202.6267	-1.0674	-0.1694	-0.0347	-0.0293	-0.0425	-0.1221	0.3735	-0.0604	0.0630	0.0137	0.0048	-0.0010	0.0484	0.2963
204.1778	-1.1621	-0.0939	0.0837	0.0033	0.0392	0.0223	0.1036	-0.0684	0.0369	0.0254	0.0474	-0.0047	0.0411	0.0843
205.8040	-0.9822	-0.0433	-0.1002	-0.0274	-0.1107	-0.1989	0.1256	-0.0338	-0.0016	0.0308	0.0429	0.0056	0.0434	-0.1849
207.5113	-1.0469	-0.1491	-0.0866	-0.0620	-0.0128	0.0062	0.0955	-0.0644	0.0877	-0.0407	0.0426	0.0201	-0.0298	-0.1026
209.1913	-1.0206	-0.1012	-0.0193	-0.0992	0.0003	-0.0923	0.4878	-0.0617	0.0451	0.0235	0.0324	0.0216	0.0432	0.1641
210.7963	-1.0546	-0.0498	0.0012	-0.0241	-0.0446	-0.4166	0.0523	-0.0153	0.0404	-0.0081	0.0289	0.0186	-0.0073	0.2270
212.3471	-0.7289	-0.1989	-0.0816	0.0097	-0.0460	-0.0459	-0.0230	-0.0109	0.0572	0.0017	0.0514	-0.0237	-0.0126	0.1527
213.9083	-0.8014	-0.2107	0.0760	-0.0490	-0.1148	0.1135	-0.0668	0.0098	-0.0077	-0.0187	0.0393	0.0445	0.1334	0.1864
215.5649	-1.0463	-0.0331	-0.0453	-0.0459	-0.0431	-0.1485	0.2091	-0.0084	0.0566	0.0582	0.0069	-0.0120	-0.0478	-0.1908
217.3013	-1.1138	-0.1247	-0.1098	-0.0588	-0.0985	-0.0502	-0.1344	-0.0118	0.0420	-0.0543	0.0147	0.0356	0.0010	-0.0132
219.0273	-1.1779	-0.0545	0.0004	-0.0535	-0.0737	-0.3229	-0.3646	-0.0673	0.0289	0.0385	0.0285	0.0238	0.0048	0.0339
220.7589	-1.2316	-0.0589	0.0120	-0.0537	-0.0557	-0.0995	-0.0752	-0.0694	-0.0096	0.0059	0.0178	0.0164	0.0982	-0.0817
222.5094	-1.3561	-0.0926	-0.2108	-0.0355	-0.0204	-0.0852	-0.2417	-0.0929	0.0548	0.0533	0.0242	0.0509	-0.0119	0.0492
224.1760	-1.2387	-0.1899	0.0049	-0.0594	-0.0384	-0.1573	-0.1754	-0.0870	0.0591	0.0034	0.0109	0.0447	-0.0865	0.2167
225.9397	-1.2251	-0.1378	-0.1459	-0.0066	-0.0043	-0.1634	-0.1672	-0.1411	0.0380	0.0792	0.0295	-0.0100	-0.0299	-0.0803
227.6842	-1.2569	-0.0564	-0.1314	0.0024	-0.0658	-0.1746	0.2164	-0.1037	0.0552	0.0269	0.0550	0.0276	-0.0387	0.0281
229.3889	-1.1890	-0.1427	-0.1226	-0.0925	-0.0511	-0.1202	0.2747	-0.0847	0.0377	0.0052	0.0025	0.0342	0.0492	0.2440
231.1200	-1.3542	-0.1005	-0.0827	-0.0800	-0.0503	-0.1891	0.3388	-0.0812	0.0795	0.0299	0.0080	0.0067	0.0166	0.0114
232.8459	-1.2199	-0.1833	-0.0890	-0.0277	-0.1339	-0.2013	-0.4874	-0.0521	0.0493	0.0082	0.0396	0.0364	0.0573	-0.1698
234.5805	-1.3161	-0.2265	-0.0413	-0.0210	-0.0316	-0.0466	0.3078	-0.1116	0.0547	0.0405	0.0374	0.0360	0.0379	0.0380
236.2952	-1.1915	-0.2256	-0.1331	-0.0477	-0.0922	-0.1273	-0.1706	-0.1433	0.0348	0.0183	0.0310	0.0368	0.0031	0.1085
238.0773	-1.2501	-0.2471	-0.1577	-0.1145	-0.0427	-0.1538	0.0755	-0.0887	0.0796	0.0409	0.0191	0.0284	-0.0074	-0.0081
239.8068	-1.1890	-0.3092	-0.1036	-0.0438	-0.0726	0.2223	0.3701	-0.0679	0.0463	0.0902	0.0210	0.0381	0.0376	0.2989
241.4934	-1.2570	-0.1455	-0.1720	-0.0061	-0.0121	0.0520	0.2235	-0.0395	0.0938	0.0478	0.0353	0.0494	0.0324	-0.1478
243.2420	-1.2428	-0.1069	0.0265	-0.1469	-0.0035	-0.2183	0.2029	-0.0113	0.0594	0.0325	0.0178	0.0031	0.0136	0.0195
