Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
164.4680	0.2392	0.0256	0.0051	0.0815	0.0466	0.1270	-0.2008	-0.1903	-0.0251	-0.0220	-0.0194	0.0075	0.0212	-0.0711
166.2327	0.1663	0.0433	-0.1001	-0.0402	0.0402	-0.0702	-0.0543	-0.2538	-0.0422	-0.0164	0.0272	0.0070	0.0365	0.1270
167.9579	0.1455	-0.0661	0.0162	-0.0053	0.0497	0.1965	0.0986	-0.2659	-0.0060	-0.0448	-0.0127	0.0204	0.0054	0.2221
169.6951	0.1645	0.0304	0.0257	-0.0371	-0.0259	0.0634	0.0938	-0.1850	-0.0439	0.0130	0.0324	-0.0050	-0.0048	0.0122
171.4234	0.1129	-0.0527	-0.0027	0.0229	-0.0094	0.0190	-0.0895	-0.2671	-0.0201	-0.0581	0.0022	-0.0218	-0.0174	0.1200
173.2021	0.1500	-0.1432	0.0105	0.0745	0.0284	0.1295	-0.0919	-0.2610	0.0287	-0.0242	-0.0223	0.0234	0.0120	-0.1560
174.9358	0.1033	-0.0032	0.0109	0.0448	-0.0192	0.0480	-0.1822	-0.1768	-0.0011	0.0109	0.0137	-0.0022	0.0176	0.1121
176.6843	0.0297	0.0968	-0.0381	0.1555	0.0227	0.0136	-0.0109	-0.2230	0.0557	-0.0130	-0.0171	0.0243	0.0026	-0.0383
178.4699	0.2182	0.0124	-0.0572	0.0372	0.0717	0.0660	0.1536	-0.2973	-0.0306	-0.0042	0.0198	0.0142	-0.0489	0.0139
180.2693	0.1631	0.0704	-0.0080	0.1006	0.0714	-0.1404	0.4006	-0.2050	-0.0149	-0.0253	0.0278	0.0000	-0.0149	0.0512
181.9920	0.2593	-0.0291	0.0212	0.0252	0.0532	0.0139	0.2393	-0.2507	-0.0059	-0.0355	-0.0100	0.0283	0.0005	-0.1013
183.7727	0.2638	0.0234	0.0177	0.0552	0.0581	0.0693	-0.3000	-0.3329	-0.0080	-0.0032	0.0209	-0.0225	0.0361	-0.0530
185.4863	0.2136	-0.0114	0.0627	0.0810	-0.0396	0.1016	0.1806	-0.2197	0.0132	-0.0315	-0.0243	-0.0172	0.0447	-0.1530
187.2459	0.2091	0.0250	0.0559	-0.0050	0.0908	-0.2161	0.0769	-0.2253	-0.0482	0.0179	-0.0096	-0.0158	-0.0104	-0.1426
188.9863	0.1901	-0.0221	-0.0789	-0.0588	0.0021	0.0245	0.1597	-0.2940	-0.0027	-0.0094	-0.0052	0.0209	-0.0746	-0.0022
190.7257	0.2207	-0.0276	0.1779	0.0552	0.0462	-0.1551	-0.2329	-0.2079	-0.0534	0.0106	-0.0210	-0.0045	0.0385	0.1793
192.4653	0.2211	0.0613	-0.0163	0.0346	-0.0027	-0.2568	0.1966	-0.2445	0.0057	0.0201	-0.0083	0.0054	0.0408	0.2525
194.2268	0.2549	-0.1051	0.0299	-0.0358	-0.0002	0.0572	-0.1364	-0.3339	0.0405	-0.0291	0.0125	0.0047	0.0200	-0.0726
195.9691	0.1964	-0.0114	-0.0810	0.1205	0.0084	-0.1674	0.0253	-0.3012	-0.0331	-0.0286	-0.0301	0.0090	0.0829	0.0177
197.7104	0.1088	-0.0489	-0.0367	0.0256	0.0003	-0.0234	-0.1172	-0.2368	0.0163	-0.0173	0.0190	-0.0057	0.0959	0.0393
199.4490	0.1699	0.0455	-0.0784	-0.0010	-0.0546	0.0680	0.2917	-0.3373	-0.0495	-0.0290	0.0224	0.0007	-0.0200	-0.3802
201.1900	0.1027	-0.0785	0.0104	0.0492	0.0099	-0.0524	-0.1673	-0.2540	-0.0128	0.0132	-0.0101	-0.0039	-0.0579	-0.0429
202.9100	0.1192	-0.1232	0.0389	0.0084	0.0382	0.1921	0.1504	-0.1901	0.0396	0.0181	0.0208	0.0038	-0.0147	-0.0340
204.6446	0.1960	-0.0186	-0.0604	-0.0425	0.0256	0.0260	-0.7289	-0.2792	-0.0194	-0.0128	0.0135	0.0138	0.0045	0.0453
206.4119	0.1311	0.0117	-0.0108	-0.0299	0.0591	0.0972	-0.2800	-0.2707	0.0094	0.0182	-0.0167	0.0061	0.0433	-0.0850
208.1283	0.1566	-0.0139	0.0694	-0.0201	0.0909	-0.2167	0.3523	-0.2268	-0.0078	-0.0142	-0.0025	0.0090	0.0388	-0.1317
209.9020	0.1286	0.0806	0.0188	0.0657	0.0070	0.2641	0.1537	-0.3759	0.0436	-0.0460	-0.0116	-0.0035	-0.0268	0.2123
211.6127	0.2073	-0.1804	0.1257	0.0528	-0.0250	-0.0540	0.3444	-0.3123	0.0364	-0.0177	-0.0113	0.0066	0.0429	0.0064
213.3931	0.1203	-0.0758	0.0802	0.0272	0.0733	-0.1095	-0.0454	-0.2021	0.0201	-0.0228	0.0096	-0.0049	0.0691	-0.0135
215.0739	0.2341	-0.1215	-0.0412	0.0055	0.0366	0.0434	-0.0606	-0.3536	-0.0496	-0.0203	0.0163	0.0025	-0.0477	-0.0289
216.8944	0.0645	-0.0196	0.1198	-0.0760	-0.0102	0.1831	0.2046	-0.2619	-0.0085	0.0052	0.0046	-0.0152	-0.0202	0.0960
218.6097	0.1954	-0.0098	-0.0108	0.1044	0.0118	0.0347	-0.0516	-0.1949	-0.0535	0.0023	0.0036	0.0044	0.0245	0.0610
220.4037	0.1615	0.0150	0.0331	0.0564	0.0435	0.1065	-0.2805	-0.3342	0.0220	-0.0152	0.0269	0.0204	0.0181	0.0844
222.1176	0.1559	0.0249	0.0515	0.0668	-0.0163	0.0600	0.1612	-0.3247	-0.0640	-0.0084	-0.0194	0.0016	0.0495	0.0907
223.8747	0.1617	-0.0327	-0.0014	0.0692	0.0467	-0.0363	-0.7230	-0.2154	0.0443	-0.0174	0.0172	0.0178	0.0467	-0.0644
225.6079	0.2126	-0.0135	0.0976	-0.0177	-0.0364	-0.0665	-0.3560	-0.3314	-0.0190	0.0057	-0.0101	-0.0201	-0.0102	-0.0697
227.3779	0.1719	0.0592	-0.0797	-0.0098	0.0821	0.0320	-0.1944	-0.3213	-0.0022	-0.0088	-0.0046	-0.0101	0.0150	-0.0770
229.1079	0.1305	0.1112	0.0370	-0.0619	-0.0355	0.1149	0.2037	-0.2266	0.0190	-0.0754	-0.0034	-0.0194	0.0178	0.1544
230.8662	0.1623	0.0759	0.0683	-0.0087	-0.0251	0.1178	0.1652	-0.3435	0.0014	0.0388	0.0306	0.0091	-0.0295	-0.2681
232.5825	0.1004	0.0475	-0.1136	0.0271	0.0021	-0.0682	-0.0227	-0.3809	-0.0030	0.0193	0.0005	0.0100	0.0589	0.1228
234.3320	0.2834	0.1268	-0.0422	0.0615	0.0879	0.2250	-0.0883	-0.2606	0.0223	-0.0309	0.0122	0.0111	0.0316	-0.1578
236.0560	0.1654	-0.0168	-0.0163	-0.0380	0.0038	-0.0493	0.1197	-0.3534	0.0202	-0.0103	-0.0235	0.0114	0.0519	-0.0098
237.7778	0.1722	0.0015	-0.0485	0.0230	0.0653	-0.0070	-0.0491	-0.3378	-0.0290	-0.0354	-0.0224	0.0095	0.0506	0.0800
239.5336	0.3363	0.0209	0.0675	0.0725	-0.0376	0.1505	-0.1117	-0.1861	-0.0364	-0.0086	0.0114	-0.0035	0.0210	0.0834
241.2765	0.2132	0.0711	-0.0928	-0.0380	-0.0582	-0.0181	0.3385	-0.3894	0.0189	-0.0131	0.0115	0.0052	0.0605	-0.0441
243.0059	0.1306	0.0683	-0.0132	0.0366	-0.0056	0.1427	0.3679	-0.3704	-0.0008	0.0102	-0.0236	0.0206	0.0674	0.0024
244.6757	0.1256	-0.0211	-0.0978	-0.0245	0.0801	0.2439	0.2133	-0.2498	-0.0491	0.0119	0.0553	-0.0052	0.0376	-0.1341
246.4254	0.2565	0.0288	0.0582	-0.0395	0.0880	-0.0134	-0.2280	-0.3868	0.0106	0.0018	0.0162	0.0342	0.0159	0.0298
248.1389	0.1134	0.0020	-0.0945	0.0878	0.0214	-0.0677	0.7861	-0.3637	0.0071	-0.0434	0.0022	0.0259	0.0210	0.0141
