Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
88.468,1.474466667,0.153,0.2028,-0.021,0.0001,0.0666,-0.0345,-0.0412,0.0524,-0.0545,0.0149,-0.0167,-0.0298,-0.0189
89.7848,1.496413333,-0.0009,0.1803,0.0852,0.0458,-0.0533,0.08,0.5242,0.0406,-0.0213,0.0023,-0.0172,0.0687,-0.197
91.0623,1.517705,0.0305,0.015,0.0224,-0.0779,0.1766,0.237,-0.1974,-0.0287,0.0042,-0.0318,-0.0047,-0.0747,0.1257
92.3864,1.539773333,0.0862,0.0378,0.0003,-0.071,0.0202,-0.1452,0.1292,-0.0823,-0.0653,0.0112,-0.0125,0.0398,0.1754
93.7069,1.561781667,-0.0218,0.1659,0.0303,0.0478,-0.0195,0.211,0.05,0.004,-0.0468,0.0371,-0.0264,0.0151,-0.0733
95.0179,1.583631667,0.1114,0.2721,-0.0189,-0.0039,0.0139,0.0292,0.421,0.0844,-0.0178,-0.0393,-0.0248,-0.0655,0.2149
96.3282,1.60547,0.1236,-0.0709,0.0452,0.0531,0.0431,-0.1118,0.206,-0.008,-0.0026,-0.0095,-0.0243,0.0139,-0.1116
97.6178,1.626963333,0.0983,-0.0653,-0.0097,0.1109,0.0045,-0.1539,-0.1879,-0.06,0.0138,-0.0397,0.0169,0.0903,0.2487
98.9426,1.649043333,-0.0019,0.1276,-0.0232,0.1238,0.012,-0.052,0.1733,0.0397,-0.0542,0.0068,-0.004,-0.0185,0.1848
100.2373,1.670621667,0.1095,0.1713,0.0916,0.03,-0.0355,-0.057,0.3823,0.0095,-0.0282,0.0007,-0.0436,0.0103,-0.1171
101.5444,1.692406667,0.0637,-0.124,0.092,0.0214,0.0412,-0.1188,0.1971,-0.0196,-0.0187,-0.021,-0.0283,-0.0911,0.0193
102.8648,1.714413333,0.0648,-0.053,0.0665,0.0213,0.0253,-0.033,-0.0274,0.0171,0.0293,0.0039,-0.0179,0.0371,0.1609
104.1423,1.735705,0.0298,0.3461,-0.0296,0.0837,0.0417,-0.018,-0.1605,0.0132,-0.0248,0.0054,0.0041,0.0453,-0.1036
105.4767,1.757945,0.0431,0.2342,0.1469,-0.0331,0.0443,-0.1518,-0.0946,0.0321,-0.0237,-0.002,0.0152,0.0368,-0.297
106.7944,1.779906667,0.0301,0.0468,-0.2288,-0.0437,0.0036,0.2447,0.2338,-0.0469,-0.0012,-0.0224,-0.0203,-0.0445,0.0367
108.1298,1.802163333,-0.0425,-0.009,0.1283,0.0304,-0.0383,-0.1817,-0.4278,0.0171,0.0414,-0.0212,-0.0418,-0.0557,-0.1028
109.4387,1.823978333,-0.0318,0.2329,-0.0441,0.0388,0.0869,-0.1477,0.5455,0.0513,-0.008,0.032,-0.0047,-0.001,0.1085
110.738,1.845633333,-0.0376,0.2767,-0.0482,0.0653,-0.0437,-0.2337,0.0253,0.0495,0.006,0.0077,-0.0358,-0.0662,-0.0039
112.0686,1.86781,0.0991,-0.08,-0.0124,0.0358,0.0725,-0.0744,0.1214,-0.015,0.0084,-0.0278,0.0118,-0.0316,-0.0387
113.3332,1.888886667,0.1546,-0.1419,-0.0349,-0.0078,-0.0177,-0.2391,-0.245,-0.0677,0.0032,0.0007,-0.0133,-0.033,0.3517
114.6798,1.91133,-0.0125,0.1709,0.0246,-0.0539,0.0784,-0.0755,-0.0464,0.0859,-0.0155,0.0008,-0.0065,-0.1433,0.2834
115.9839,1.933065,0.0171,0.351,0.0859,0.0444,0.0229,-0.0141,0.6967,0,-0.0648,-0.013,-0.0074,-0.0178,0.012
117.286,1.954766667,-0.0492,-0.0213,-0.0142,0.1177,0.0746,-0.066,-0.0054,-0.0575,-0.0051,-0.0398,-0.015,-0.0714,0.0955
