Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
146.6248,2.443746667,0.144,0.0452,-0.0341,-0.0506,-0.0469,0.0088,-0.2128,0.0213,-0.0222,-0.0251,-0.0237,-0.0778,-0.131
147.8988,2.46498,0.026,0.0609,-0.047,-0.0302,-0.0278,0.2857,0.1736,0.0379,0.0126,-0.0214,-0.0622,0.0589,0.0366
149.1742,2.486236667,0.034,-0.0362,0.0584,0.0987,0.1043,0.4642,0.4894,0.0187,-0.0181,-0.0086,-0.0048,-0.1247,-0.1344
150.514,2.508566667,0.147,-0.0418,0.1136,0.0266,-0.0923,0.2037,0.1102,0.014,0.004,-0.0587,0.0041,0.0682,0.0494
151.8066,2.53011,0.1311,0.1855,0.0869,-0.0133,0.0145,0.0583,-0.0571,0.0336,0.0432,-0.0028,-0.0063,-0.0413,0.098
153.1047,2.551745,0.1805,0.0863,-0.0314,0.0669,-0.0035,0.1642,-0.597,0.0387,-0.0171,-0.0355,-0.0188,-0.068,-0.1611
154.4126,2.573543333,-0.0776,0.1322,-0.0128,0.1075,-0.019,0.1787,0.3549,-0.0387,-0.0193,-0.0332,0.0045,-0.039,0.1051
155.7045,2.595075,0.1461,0.0351,-0.0409,-0.0229,-0.03,-0.136,-0.4928,-0.0169,0.0096,-0.0061,0.0021,0.0307,0.0652
157.0199,2.616998333,0.1652,-0.0529,0.1285,0.0432,0.0633,0.0837,-0.11,0.0185,0.0042,-0.0059,-0.0002,0.0221,0.3519
158.3045,2.638408333,0.0553,0.2034,0.0146,0.0081,0.0359,0.1076,0.169,0.0249,-0.0028,-0.0121,-0.0013,0.0817,0.0481
159.6148,2.660246667,0.1581,0.0465,0.0349,0.067,0.0023,0.0714,0.0513,0.0589,-0.0071,-0.014,0.0109,-0.1061,0.2449
160.8744,2.68124,0.1212,-0.0097,-0.0523,0.033,-0.0735,0.0739,0.0363,0.0122,-0.0078,0.0052,-0.015,-0.0921,0.0632
